id,est_id,date,extra_credit,grade,score,final_score,type
911494,56936,2005-07-27,N,A,100.0,100.0,1 - INSPECTION
911503,56936,2007-06-14,N,A,100.0,100.0,1 - INSPECTION
911514,56938,2005-02-02,N,A,100.0,100.0,1 - INSPECTION
911522,56938,2007-06-19,Y,A,100.0,102.0,1 - INSPECTION
911524,56938,2007-12-19,Y,A,100.0,102.0,1 - INSPECTION
911560,56941,2007-06-28,N,A,100.0,100.0,1 - INSPECTION
911633,56947,2008-02-11,Y,A,100.0,102.0,1 - INSPECTION
911658,56949,2007-01-11,N,A,100.0,100.0,2 - RE-INSPECTION
911661,56949,2007-12-17,N,A,100.0,100.0,1 - INSPECTION
911662,56949,2008-01-03,N,A,100.0,100.0,2 - RE-INSPECTION
911678,56952,2005-06-15,Y,A,100.0,102.0,1 - INSPECTION
911682,56952,2006-02-01,Y,A,100.0,102.0,1 - INSPECTION
911685,56952,2006-10-04,Y,A,100.0,102.0,1 - INSPECTION
911690,56953,2005-03-29,N,A,100.0,100.0,P - PERMIT
911696,56953,2006-11-08,Y,A,100.0,102.0,1 - INSPECTION
911698,56953,2007-06-04,Y,A,100.0,102.0,1 - INSPECTION
911700,56953,2007-10-17,Y,A,100.0,102.0,1 - INSPECTION
911746,56958,2006-02-07,N,A,100.0,100.0,1 - INSPECTION
911786,56962,2006-07-24,N,A,100.0,100.0,1 - INSPECTION
911787,56962,2006-11-15,N,A,100.0,100.0,1 - INSPECTION
911788,56962,2007-01-11,N,A,100.0,100.0,1 - INSPECTION
911798,56963,2006-08-08,Y,A,100.0,102.0,1 - INSPECTION
911802,56963,2008-02-15,Y,A,100.0,102.0,1 - INSPECTION
911807,56964,2005-10-21,N,A,100.0,100.0,S - STATUS CHANGE
911811,56964,2006-08-31,Y,A,100.0,102.0,1 - INSPECTION
911816,56964,2007-11-29,Y,A,100.0,102.0,1 - INSPECTION
911821,56965,2005-12-08,N,A,100.0,100.0,1 - INSPECTION
911840,56967,2007-08-28,N,A,100.0,100.0,1 - INSPECTION
911913,56974,2005-08-03,N,A,100.0,100.0,1 - INSPECTION
911916,56974,2006-06-08,Y,A,100.0,102.0,1 - INSPECTION
911919,56974,2007-01-08,N,A,100.0,100.0,1 - INSPECTION
908475,56712,2004-03-09,N,A,100.0,100.0,1 - INSPECTION
908477,56712,2004-11-30,Y,A,100.0,102.0,1 - INSPECTION
